taster_name,taster_twitter_handle
Paul Gregutt,@paulgwine 
Joe Czerwinski,@JoeCz
,
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
,
,
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
,
,
,
Lauren Buzzeo,@laurbuzz
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Mike DeSimone,@worldwineguys
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Virginie Boone,@vboone
Lauren Buzzeo,@laurbuzz
Joe Czerwinski,@JoeCz
Lauren Buzzeo,@laurbuzz
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Mike DeSimone,@worldwineguys
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Virginie Boone,@vboone
Jeff Jenssen,@worldwineguys
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Lauren Buzzeo,@laurbuzz
Lauren Buzzeo,@laurbuzz
,
,
,
Susan Kostrzewa,@suskostrzewa
Michael Schachner,@wineschach
,
Paul Gregutt,@paulgwine 
,
,
,
,
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
,
,
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
,
Paul Gregutt,@paulgwine 
,
,
Paul Gregutt,@paulgwine 
,
Michael Schachner,@wineschach
,
Virginie Boone,@vboone
Lauren Buzzeo,@laurbuzz
Lauren Buzzeo,@laurbuzz
Lauren Buzzeo,@laurbuzz
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Virginie Boone,@vboone
,
Lauren Buzzeo,@laurbuzz
Lauren Buzzeo,@laurbuzz
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
,
Susan Kostrzewa,@suskostrzewa
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
,
Paul Gregutt,@paulgwine 
,
Roger Voss,@vossroger
,
Kerin O’Keefe,@kerinokeefe
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
,
Paul Gregutt,@paulgwine 
,
,
,
Virginie Boone,@vboone
Anna Lee C. Iijima,
Roger Voss,@vossroger
Susan Kostrzewa,@suskostrzewa
,
,
Joe Czerwinski,@JoeCz
,
,
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
,
,
,
Michael Schachner,@wineschach
,
Susan Kostrzewa,@suskostrzewa
,
Michael Schachner,@wineschach
,
,
,
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
Lauren Buzzeo,@laurbuzz
Roger Voss,@vossroger
Michael Schachner,@wineschach
Anne Krebiehl MW,@AnneInVino
Virginie Boone,@vboone
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Joe Czerwinski,@JoeCz
Anna Lee C. Iijima,
Joe Czerwinski,@JoeCz
Joe Czerwinski,@JoeCz
Kerin O’Keefe,@kerinokeefe
Jeff Jenssen,@worldwineguys
Virginie Boone,@vboone
Roger Voss,@vossroger
Anna Lee C. Iijima,
Virginie Boone,@vboone
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Anna Lee C. Iijima,
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Joe Czerwinski,@JoeCz
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
,
,
,
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
,
,
Michael Schachner,@wineschach
,
,
,
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
Susan Kostrzewa,@suskostrzewa
Susan Kostrzewa,@suskostrzewa
,
,
,
,
Susan Kostrzewa,@suskostrzewa
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Anne Krebiehl MW,@AnneInVino
Jim Gordon,@gordone_cellars
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Anna Lee C. Iijima,
Anne Krebiehl MW,@AnneInVino
Sean P. Sullivan,@wawinereport
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Sean P. Sullivan,@wawinereport
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Anne Krebiehl MW,@AnneInVino
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Sean P. Sullivan,@wawinereport
Anne Krebiehl MW,@AnneInVino
Anna Lee C. Iijima,
Virginie Boone,@vboone
Anne Krebiehl MW,@AnneInVino
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
,
Virginie Boone,@vboone
,
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
Roger Voss,@vossroger
Anna Lee C. Iijima,
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Anna Lee C. Iijima,
Anna Lee C. Iijima,
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine 
,
,
Lauren Buzzeo,@laurbuzz
Lauren Buzzeo,@laurbuzz
Joe Czerwinski,@JoeCz
,
,
,
,
Michael Schachner,@wineschach
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Anna Lee C. Iijima,
Virginie Boone,@vboone
Michael Schachner,@wineschach
Virginie Boone,@vboone
,
Roger Voss,@vossroger
Michael Schachner,@wineschach
Virginie Boone,@vboone
Roger Voss,@vossroger
,
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
,
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Roger Voss,@vossroger
Virginie Boone,@vboone
Michael Schachner,@wineschach
Virginie Boone,@vboone
Virginie Boone,@vboone
Virginie Boone,@vboone
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Sean P. Sullivan,@wawinereport
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine 
Anna Lee C. Iijima,
Roger Voss,@vossroger
Virginie Boone,@vboone
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Virginie Boone,@vboone
Roger Voss,@vossroger
Michael Schachner,@wineschach
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Michael Schachner,@wineschach
Virginie Boone,@vboone
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Roger Voss,@vossroger
Anna Lee C. Iijima,
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Matt Kettmann,@mattkettmann
Anne Krebiehl MW,@AnneInVino
Sean P. Sullivan,@wawinereport
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Jim Gordon,@gordone_cellars
Anne Krebiehl MW,@AnneInVino
Matt Kettmann,@mattkettmann
Anne Krebiehl MW,@AnneInVino
Sean P. Sullivan,@wawinereport
Anne Krebiehl MW,@AnneInVino
Joe Czerwinski,@JoeCz
Sean P. Sullivan,@wawinereport
Susan Kostrzewa,@suskostrzewa
Anne Krebiehl MW,@AnneInVino
Matt Kettmann,@mattkettmann
,
,
Michael Schachner,@wineschach
,
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
,
,
,
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
,
,
,
,
,
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
,
,
,
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Roger Voss,@vossroger
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
Roger Voss,@vossroger
Anna Lee C. Iijima,
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Anne Krebiehl MW,@AnneInVino
Joe Czerwinski,@JoeCz
Matt Kettmann,@mattkettmann
Anne Krebiehl MW,@AnneInVino
Jim Gordon,@gordone_cellars
Paul Gregutt,@paulgwine 
Lauren Buzzeo,@laurbuzz
Virginie Boone,@vboone
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Michael Schachner,@wineschach
Anna Lee C. Iijima,
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Anna Lee C. Iijima,
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Virginie Boone,@vboone
Sean P. Sullivan,@wawinereport
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Michael Schachner,@wineschach
Sean P. Sullivan,@wawinereport
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Sean P. Sullivan,@wawinereport
Matt Kettmann,@mattkettmann
Anne Krebiehl MW,@AnneInVino
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Lauren Buzzeo,@laurbuzz
Kerin O’Keefe,@kerinokeefe
Joe Czerwinski,@JoeCz
Anne Krebiehl MW,@AnneInVino
Sean P. Sullivan,@wawinereport
Lauren Buzzeo,@laurbuzz
Michael Schachner,@wineschach
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Virginie Boone,@vboone
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Virginie Boone,@vboone
Virginie Boone,@vboone
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Roger Voss,@vossroger
Alexander Peartree,
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Lauren Buzzeo,@laurbuzz
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Alexander Peartree,
Roger Voss,@vossroger
Roger Voss,@vossroger
Virginie Boone,@vboone
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
,
Anna Lee C. Iijima,
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
,
,
,
Virginie Boone,@vboone
,
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Michael Schachner,@wineschach
,
,
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
,
Roger Voss,@vossroger
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
,
,
,
,
Roger Voss,@vossroger
Michael Schachner,@wineschach
Roger Voss,@vossroger
Virginie Boone,@vboone
Michael Schachner,@wineschach
Anna Lee C. Iijima,
Sean P. Sullivan,@wawinereport
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Virginie Boone,@vboone
Roger Voss,@vossroger
Sean P. Sullivan,@wawinereport
Sean P. Sullivan,@wawinereport
Paul Gregutt,@paulgwine 
Jim Gordon,@gordone_cellars
Joe Czerwinski,@JoeCz
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Virginie Boone,@vboone
Anna Lee C. Iijima,
Jim Gordon,@gordone_cellars
Joe Czerwinski,@JoeCz
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Anna Lee C. Iijima,
Michael Schachner,@wineschach
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine 
Anna Lee C. Iijima,
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Anne Krebiehl MW,@AnneInVino
Anna Lee C. Iijima,
Jim Gordon,@gordone_cellars
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine 
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Kerin O’Keefe,@kerinokeefe
Joe Czerwinski,@JoeCz
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Jeff Jenssen,@worldwineguys
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
,
,
,
Lauren Buzzeo,@laurbuzz
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
,
,
,
Paul Gregutt,@paulgwine 
Joe Czerwinski,@JoeCz
,
,
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
,
,
Michael Schachner,@wineschach
Roger Voss,@vossroger
Alexander Peartree,
Anna Lee C. Iijima,
Kerin O’Keefe,@kerinokeefe
Alexander Peartree,
Alexander Peartree,
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Lauren Buzzeo,@laurbuzz
Paul Gregutt,@paulgwine 
Mike DeSimone,@worldwineguys
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Michael Schachner,@wineschach
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Jim Gordon,@gordone_cellars
Roger Voss,@vossroger
Michael Schachner,@wineschach
Virginie Boone,@vboone
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine 
Virginie Boone,@vboone
Virginie Boone,@vboone
Roger Voss,@vossroger
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine 
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Michael Schachner,@wineschach
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
,
,
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
,
,
Paul Gregutt,@paulgwine 
,
,
,
,
Roger Voss,@vossroger
,
Roger Voss,@vossroger
,
,
Susan Kostrzewa,@suskostrzewa
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
,
,
Joe Czerwinski,@JoeCz
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
,
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Paul Gregutt,@paulgwine 
Roger Voss,@vossroger
,
,
Paul Gregutt,@paulgwine 
,
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Mike DeSimone,@worldwineguys
Roger Voss,@vossroger
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Virginie Boone,@vboone
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Matt Kettmann,@mattkettmann
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Sean P. Sullivan,@wawinereport
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Michael Schachner,@wineschach
Roger Voss,@vossroger
,
Paul Gregutt,@paulgwine 
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Susan Kostrzewa,@suskostrzewa
,
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Virginie Boone,@vboone
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Paul Gregutt,@paulgwine 
Sean P. Sullivan,@wawinereport
Virginie Boone,@vboone
Roger Voss,@vossroger
Virginie Boone,@vboone
Paul Gregutt,@paulgwine 
Virginie Boone,@vboone
